observed_on,extension_id,provider_id,browser,extension_name,source_url,verification_status,observed_url,http_status,notes
2026-09-14,fcoeoabgfenejglbffodgkkbkcdhcgfn,anthropic,chromium-family,Claude,https://chromewebstore.google.com/detail/claude/fcoeoabgfenejglbffodgkkbkcdhcgfn,verified_official_listing,https://chromewebstore.google.com/detail/claude/fcoeoabgfenejglbffodgkkbkcdhcgfn,200,Publisher Anthropic confirmed on the Chrome Web Store
2026-09-14,hehggadaopoacecdllhhajmbjkdcmajg,openai,chromium-family,ChatGPT,https://chromewebstore.google.com/detail/chatgpt/hehggadaopoacecdllhhajmbjkdcmajg,verified_official_listing,https://chromewebstore.google.com/detail/chatgpt/hehggadaopoacecdllhhajmbjkdcmajg,200,Publisher OpenAI confirmed on the Chrome Web Store
2026-09-14,ejcfepkfckglbgocfkanmcdngdijcgld,openai,chromium-family,ChatGPT search,https://chromewebstore.google.com/detail/chatgpt-search/ejcfepkfckglbgocfkanmcdngdijcgld,catalog_baseline,https://chromewebstore.google.com/detail/chatgpt-search/ejcfepkfckglbgocfkanmcdngdijcgld,,Historical catalog baseline
2026-09-14,kbfnbcaeplbcioakkpcpgfkobkghlhen,grammarly,chromium-family,Grammarly AI Writing Assistant,https://chromewebstore.google.com/detail/grammarly-ai-writing-assi/kbfnbcaeplbcioakkpcpgfkobkghlhen,catalog_baseline,https://chromewebstore.google.com/detail/grammarly-ai-writing-assi/kbfnbcaeplbcioakkpcpgfkobkghlhen,,Historical catalog baseline
2026-09-14,camppjleccjaphfdbohjdohecfnoikec,merlin,chromium-family,Merlin AI,https://chromewebstore.google.com/detail/merlin-ai/camppjleccjaphfdbohjdohecfnoikec,catalog_baseline,https://chromewebstore.google.com/detail/merlin-ai/camppjleccjaphfdbohjdohecfnoikec,,Historical catalog baseline
2026-09-14,difoiogjjojoaoomphldepapgpbgkhkb,sider,chromium-family,Sider AI,https://chromewebstore.google.com/detail/sider-chat-with-all-ai-gp/difoiogjjojoaoomphldepapgpbgkhkb,catalog_baseline,https://chromewebstore.google.com/detail/sider-chat-with-all-ai-gp/difoiogjjojoaoomphldepapgpbgkhkb,,Historical catalog baseline
2026-09-14,iidnbdjijdkbmajdffnidomddglmieko,quillbot,chromium-family,QuillBot AI Writing Assistant,https://chromewebstore.google.com/detail/quillbot-ai-writing-assis/iidnbdjijdkbmajdffnidomddglmieko,catalog_baseline,https://chromewebstore.google.com/detail/quillbot-ai-writing-assis/iidnbdjijdkbmajdffnidomddglmieko,,Historical catalog baseline
2026-09-21,fcoeoabgfenejglbffodgkkbkcdhcgfn,anthropic,chromium-family,Claude,https://chromewebstore.google.com/detail/claude/fcoeoabgfenejglbffodgkkbkcdhcgfn,reachable_id_confirmed,https://chromewebstore.google.com/detail/claude/fcoeoabgfenejglbffodgkkbkcdhcgfn,200,Listing URL remains reachable with the cataloged ID; publisher identity was not auto-trusted
2026-09-21,hehggadaopoacecdllhhajmbjkdcmajg,openai,chromium-family,ChatGPT,https://chromewebstore.google.com/detail/chatgpt/hehggadaopoacecdllhhajmbjkdcmajg,reachable_id_confirmed,https://chromewebstore.google.com/detail/chatgpt/hehggadaopoacecdllhhajmbjkdcmajg,200,Listing URL remains reachable with the cataloged ID; publisher identity was not auto-trusted
2026-09-21,ejcfepkfckglbgocfkanmcdngdijcgld,openai,chromium-family,ChatGPT search,https://chromewebstore.google.com/detail/chatgpt-search/ejcfepkfckglbgocfkanmcdngdijcgld,reachable_id_confirmed,https://chromewebstore.google.com/detail/chatgpt-search/ejcfepkfckglbgocfkanmcdngdijcgld,200,Listing URL remains reachable with the cataloged ID; publisher identity was not auto-trusted
2026-09-21,kbfnbcaeplbcioakkpcpgfkobkghlhen,grammarly,chromium-family,Grammarly AI Writing Assistant,https://chromewebstore.google.com/detail/grammarly-ai-writing-assi/kbfnbcaeplbcioakkpcpgfkobkghlhen,reachable_id_confirmed,https://chromewebstore.google.com/detail/grammarly-ai-writing-assi/kbfnbcaeplbcioakkpcpgfkobkghlhen,200,Listing URL remains reachable with the cataloged ID; publisher identity was not auto-trusted
2026-09-21,camppjleccjaphfdbohjdohecfnoikec,merlin,chromium-family,Merlin AI,https://chromewebstore.google.com/detail/merlin-ai/camppjleccjaphfdbohjdohecfnoikec,reachable_id_confirmed,https://chromewebstore.google.com/detail/merlin-ai/camppjleccjaphfdbohjdohecfnoikec,200,Listing URL remains reachable with the cataloged ID; publisher identity was not auto-trusted
2026-09-21,difoiogjjojoaoomphldepapgpbgkhkb,sider,chromium-family,Sider AI,https://chromewebstore.google.com/detail/sider-chat-with-all-ai-gp/difoiogjjojoaoomphldepapgpbgkhkb,reachable_id_confirmed,https://chromewebstore.google.com/detail/sider-chat-with-all-ai-gp/difoiogjjojoaoomphldepapgpbgkhkb,200,Listing URL remains reachable with the cataloged ID; publisher identity was not auto-trusted
2026-09-21,iidnbdjijdkbmajdffnidomddglmieko,quillbot,chromium-family,QuillBot AI Writing Assistant,https://chromewebstore.google.com/detail/quillbot-ai-writing-assis/iidnbdjijdkbmajdffnidomddglmieko,reachable_id_confirmed,https://chromewebstore.google.com/detail/quillbot-ai-writing-assis/iidnbdjijdkbmajdffnidomddglmieko,200,Listing URL remains reachable with the cataloged ID; publisher identity was not auto-trusted
